task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
375	54/6141b5	1871281	coverageMetricsFromBam (2431424-2)	COMPLETED	0	2021-01-06 11:09:31.437	1m 59s	1m	509.8%	27.2 MB	777.1 MB	6.6 GB	21.2 KB
376	76/2418c0	1871282	coverageMetricsFromBam (2431424)	COMPLETED	0	2021-01-06 11:09:31.676	1m 59s	1m 8s	513.4%	23.6 MB	771.3 MB	7.4 GB	21.2 KB
403	39/fdd2ea	1871312	samFlagstatFromBam (2724220)	COMPLETED	0	2021-01-06 11:11:10.830	35s	15.7s	102.2%	9.8 MB	170.1 MB	518 MB	4.4 KB
416	e1/a1cddc	1871322	samFlagstatFromBam (2747139)	COMPLETED	0	2021-01-06 11:11:12.266	33.5s	14s	102.5%	9.8 MB	170.1 MB	533.1 MB	4.4 KB
392	2b/6d7b56	1871293	samStatsFromBam (263339-2)	COMPLETED	0	2021-01-06 11:09:56.268	2m 15s	1m 5s	101.3%	9.7 MB	169.9 MB	1.3 GB	4.4 KB
426	85/1afd22	1871329	samFlagstatFromBam (2751457)	COMPLETED	0	2021-01-06 11:11:31.896	38.9s	20s	100.3%	9.8 MB	170 MB	948 MB	4.4 KB
405	99/d13891	1871306	samStatsFromBam (263339)	COMPLETED	0	2021-01-06 11:09:56.944	2m 19s	1m 11s	103.7%	9.7 MB	169.9 MB	1.4 GB	4.4 KB
406	4c/a5d2e7	1871308	coverageMetricsFromBam (2638935)	COMPLETED	0	2021-01-06 11:10:30.793	1m 45s	49.1s	517.6%	22 MB	770.9 MB	7.4 GB	21.1 KB
412	27/289ee7	1871310	samStatsFromBam (2638935)	COMPLETED	0	2021-01-06 11:10:30.888	1m 45s	57.3s	102.5%	9.8 MB	170.1 MB	1.1 GB	4.4 KB
411	a8/5e6fb0	1871317	coverageMetricsFromBam (2660265)	COMPLETED	0	2021-01-06 11:11:11.041	1m 10s	55s	502.2%	26.6 MB	770.1 MB	7.3 GB	21.2 KB
418	be/a87e6d	1871319	coverageMetricsFromBam (2691622)	COMPLETED	0	2021-01-06 11:11:12.117	1m 9s	50.4s	516.4%	31.5 MB	770.8 MB	7.2 GB	21 KB
419	45/7175d6	1871320	coverageMetricsFromBam (2724220)	COMPLETED	0	2021-01-06 11:11:12.156	1m 9s	48.3s	505.0%	23 MB	772.7 MB	7 GB	42.3 KB
29	1a/797750	1870959	haplotyperFromBam (1071036)	COMPLETED	0	2021-01-06 11:02:28.230	9m 58s	8m 46s	502.2%	674 MB	1.2 GB	15.6 GB	5.4 GB
105	6f/13b227	1871094	haplotyperFromBam (1204724)	COMPLETED	0	2021-01-06 11:05:12.842	7m 13s	6m 47s	522.2%	658.8 MB	1.2 GB	16.5 GB	6.3 GB
210	3d/ca7895	1871165	haplotyperFromBam (1421184)	COMPLETED	0	2021-01-06 11:06:32.309	5m 54s	5m 8s	487.7%	698.6 MB	1.3 GB	10.5 GB	1.7 GB
30	96/3bcc52	1870997	haplotyperFromBam (1086888)	COMPLETED	0	2021-01-06 11:02:32.711	10m 8s	9m 39s	510.3%	648.6 MB	1.2 GB	16.7 GB	4.8 GB
297	6c/0067ad	1871333	samFlagstatFromBam (2007026)	COMPLETED	0	2021-01-06 11:12:10.985	39.8s	24.8s	100.1%	9.8 MB	170 MB	1 GB	4.4 KB
