task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
241	e9/191124	1871195	samStatsFromBam (1687117)	COMPLETED	0	2021-01-06 11:07:12.475	1m 8s	42s	100.7%	9.8 MB	170 MB	810.3 MB	4.4 KB
299	a9/1d1eea	1871196	samStatsFromBam (2007026-3)	COMPLETED	0	2021-01-06 11:07:12.522	1m 8s	44.1s	102.4%	9.7 MB	169.9 MB	977 MB	4.4 KB
316	a3/e49e6f	1871213	samFlagstatFromBam (2237793)	COMPLETED	0	2021-01-06 11:07:37.247	43.5s	24.4s	99.8%	9.7 MB	169.9 MB	924.4 MB	4.4 KB
318	18/03a631	1871215	samFlagstatFromBam (2299125-2)	COMPLETED	0	2021-01-06 11:07:37.345	43.4s	25.4s	95.2%	9.7 MB	169.9 MB	817.7 MB	4.4 KB
254	74/8c2c92	1871227	samStatsFromBam (1729741)	COMPLETED	0	2021-01-06 11:07:38.876	41.9s	24.8s	100.1%	9.8 MB	170 MB	443 MB	4.4 KB
181	fd/36578e	1871188	coverageMetricsFromBam (1524801)	COMPLETED	0	2021-01-06 11:07:11.036	1m 45s	1m 12s	503.1%	41.3 MB	769.8 MB	7.4 GB	21.2 KB
294	b6/b45acb	1871191	coverageMetricsFromBam (1772988)	COMPLETED	0	2021-01-06 11:07:11.181	1m 45s	58.4s	551.3%	22.4 MB	772 MB	6.8 GB	21 KB
295	77/f05762	1871193	samStatsFromBam (2007026-2)	COMPLETED	0	2021-01-06 11:07:11.285	1m 44s	51.5s	112.6%	9.8 MB	170 MB	1.1 GB	4.4 KB
240	dc/8bde61	1871194	coverageMetricsFromBam (1622213)	COMPLETED	0	2021-01-06 11:07:11.333	1m 44s	58.1s	511.4%	65 MB	770.9 MB	7 GB	21 KB
300	1b/469796	1871198	coverageMetricsFromBam (1798101)	COMPLETED	0	2021-01-06 11:07:12.599	1m 43s	54.6s	519.9%	24.1 MB	771.1 MB	7.1 GB	21.1 KB
298	d2/24a2f2	1871199	coverageMetricsFromBam (1797924)	COMPLETED	0	2021-01-06 11:07:12.638	1m 43s	55.1s	531.0%	21.8 MB	771.3 MB	7.5 GB	42.4 KB
303	a2/d1c9bf	1871202	samStatsFromBam (2024476)	COMPLETED	0	2021-01-06 11:07:12.765	1m 43s	56.1s	100.5%	9.7 MB	170 MB	1.2 GB	4.4 KB
304	97/67d358	1871203	coverageMetricsFromBam (1806071)	COMPLETED	0	2021-01-06 11:07:12.812	1m 43s	57.4s	597.5%	21.3 MB	771 MB	7.6 GB	69 KB
301	0a/df3b3e	1871204	samStatsFromBam (2007026)	COMPLETED	0	2021-01-06 11:07:13.985	1m 42s	52s	100.8%	9.7 MB	169.9 MB	1.1 GB	4.4 KB
305	32/d9578e	1871206	coverageMetricsFromBam (188557)	COMPLETED	0	2021-01-06 11:07:14.246	1m 41s	55.9s	536.6%	24.1 MB	770.5 MB	7 GB	21 KB
310	12/e81f29	1871209	samFlagstatFromBam (218999)	COMPLETED	0	2021-01-06 11:07:36.013	1m 20s	27s	99.7%	9.8 MB	170 MB	1.1 GB	4.4 KB
306	d5/3ceb2c	1871210	samFlagstatFromBam (209562)	COMPLETED	0	2021-01-06 11:07:36.061	1m 20s	38.4s	99.8%	9.8 MB	170.1 MB	1.3 GB	4.4 KB
320	2b/a3a35f	1871217	coverageMetricsFromBam (1982496)	COMPLETED	0	2021-01-06 11:07:37.461	1m 18s	49.8s	523.9%	26.7 MB	773.2 MB	7.1 GB	42.2 KB
322	26/2b2ccf	1871218	samFlagstatFromBam (230259)	COMPLETED	0	2021-01-06 11:07:37.504	1m 18s	33.5s	78.3%	9.8 MB	170.1 MB	1.3 GB	4.4 KB
321	77/c906a1	1871219	samFlagstatFromBam (2299125)	COMPLETED	0	2021-01-06 11:07:37.542	1m 18s	27.2s	88.7%	9.7 MB	169.9 MB	850.8 MB	4.4 KB
